IPO Status,Ticker Code,Company Name,Sector,Subsector,Listing Board,Final Price (Rp),Return D1,Return D2,Return D3,Return D4,Return D5,Return D6,Return D7,Return from Listing Date,Line of Business,Address,Website,Number of shares offered,% of Total Shares,Participant Admin,Underwriter(s),Book Building Opening,Book Building Closing,Lowest Book Building Price (Rp),Highest Book Building Price (Rp),Opening of Offering Period,Closing of Offering Period,Closing Date,Distribution Date,Listing Date,Warrant per share ratio,Exercise Price (Warrant) (Rp)
Closed,IRSX,PT Aviana Sinar Abadi Tbk,Telecom,Software,Pemantauan Khusus,Rp 101,0.019801980198019802,-0.019417475728155338,-0.009900990099009901,-0.07,0.010752688172043012,0.010638297872340425,-0.042105263157894736,-0.8613861386138614,Bergerak di Bidang Aktivitas Pemrograman Komputer Lainnya,"Jl. Alaydrus No. 66 BC Lantai 3 - RT.10/RW.2, Petojo Utara, Gambir, Kota Jakarta Pusat Daerah Khusus Ibukota Jakarta 10130",https://aviana.co.id/,10.000.000 Lot,20%,AH - SHINHAN SEKURITAS INDONESIA,AH - SHINHAN SEKURITAS INDONESIA,2023-01-11,2023-01-17,100,101,2023-02-01,2023-02-03,2023-02-03,2023-02-06,07 Feb 2023,1.4,Rp 91
Closed,NAYZ,PT Hassana Boga Sejahtera Tbk,Consumer Staples,Processed Foods,Akselerasi,Rp 100,-0.1,-0.1,-0.09876543209876543,0.0273972602739726,-0.04,0.05555555555555555,0.06578947368421052,-0.77,Menjalankan usaha dalam bidang industri makanan bayi,"Kawasan Pergudangan Multiguna Taman Tekno 2 Blok L2 No. 35 BSD, Tangerang Selatan, Banten",https://www.hassana.co.id/,5.100.000 Lot,20%,SF - SURYA FAJAR SEKURITAS,SF - SURYA FAJAR SEKURITAS,2023-01-02,2023-01-11,100,120,2023-01-31,2023-02-02,2023-02-02,2023-02-03,06 Feb 2023,1.0,Rp 125
Closed,FWCT,PT Wijaya Cahaya Timber Tbk,Utilities,Timber,Pengembangan,Rp 118,0.3474576271186441,-0.06918238993710692,-0.06756756756756757,-0.06521739130434782,-0.06976744186046512,-0.06666666666666667,0.14285714285714285,-0.13559322033898305,Industri Kayu Lapis,"Jl. Puri Indah, Ruko Sentra Niaga Puri Indah Blok T1 No.47, Kembangan Selatan, Kembangan, Jakarta Barat, Jakarta 11610",http://wijayacahayatimber.com/,3.750.000 Lot,20%,YJ - LOTUS ANDALAN SEKURITAS,YJ - LOTUS ANDALAN SEKURITAS,2023-01-09,2023-01-16,108,118,2023-01-26,2023-01-30,2023-01-30,2023-01-31,01 Feb 2023,0.0,
Closed,LAJU,PT Jasa Berdikari Logistics Tbk,Real Estate,Logistics & Deliveries,Pengembangan,Rp 100,0.35,0.02962962962962963,-0.06474820143884892,0.007692307692307693,0.07633587786259542,0.0851063829787234,-0.058823529411764705,-0.5,Jasa Logistik Terintegrasi,"Jl. Kopi No. 4 D Lt. 2. Roa Malaka, Tambora Jakarta Barat – 11230 Telepon: 021 – 6912287",https://www.jasaberdikari.co.id,7.000.000 Lot,32.56%,XA - NH KORINDO SEKURITAS INDONESIA,XA - NH KORINDO SEKURITAS INDONESIA,2022-12-30,2023-01-06,100,150,2023-01-20,2023-01-25,2023-01-25,2023-01-26,27 Jan 2023,0.2,Rp 175
Closed,PEVE,PT Penta Valent Tbk,Healthcare,Pharmaceuticals,Pengembangan,Rp 149,0.3422818791946309,0.22,-0.05737704918032787,0.0,-0.043478260869565216,-0.06363636363636363,0.0,0.6510067114093959,Distributor Produk Farmasi dan Produk Konsumsi,"Jl. Kedoya Raya No. 33, Kedoya Utara, Kebon Jeruk 11520",http://www.pentavalent.co.id/,3.531.250 Lot,20%,YJ - LOTUS ANDALAN SEKURITAS,YJ - LOTUS ANDALAN SEKURITAS,2022-12-30,2023-01-05,120,149,2023-01-17,2023-01-19,2023-01-19,2023-01-20,24 Jan 2023,0.0,
Canceled,BSMT-C1,PT Bank Pembangunan Daerah Sumatera Utara Tbk.,Financials,Banks,,,,,,,,,,,Jasa Perbankan,"Gedung Bank SUMUT JL. Imam Bonjol No 18 Medan 20212 Sumatera Utara, Indonesia",https://www.banksumut.co.id,2934798300,23.0,OD - BRI DANAREKSA SEKURITAS,"['OD - BRI DANAREKSA SEKURITAS', 'AI - UOB KAY HIAN SEKURITAS', 'DR - RHB SEKURITAS INDONESIA', 'PP - ALDIRACITA SEKURITAS INDONESIA']",2023-01-05,2023-01-18,350,510,,,,,,0.0,
Closed,BMBL,PT Lavender Bina Cendikia Tbk,Energy,Education Services,Akselerasi,Rp 188,-0.09574468085106383,-0.1,-0.09803921568627451,-0.09420289855072464,-0.096,-0.09734513274336283,0.0,-0.9095744680851063,Pendidikan Bimbingan Belajar dan Konseling Swasta,"Office Tower Taman Melati Lt.5 Jalan Margonda Raya no.525 Depok, Jawa Barat",http://www.lavenderprograms.com/,2.800.000 Lot,27.19%,HD - KGI SEKURITAS INDONESIA,HD - KGI SEKURITAS INDONESIAYP - MIRAE ASSET SEKURITAS INDONESIA,2022-12-19,2022-12-26,187,196,2023-01-03,2023-01-09,2023-01-09,2023-01-10,11 Jan 2023,0.8,Rp 250
Closed,WINE,PT Hatten Bali Tbk,Energy,Consumer Distributors,Pengembangan,Rp 129,0.3488372093023256,0.3448275862068966,0.24786324786324787,0.1095890410958904,-0.06790123456790123,-0.06622516556291391,-0.06382978723404255,1.7751937984496124,Distribusi Minuman Beralkohol dan Pengolahannya melalui Perusahaan Anak,"Hatten Wines Building Jl. Bypass Ngurah Rai No. 393, Sanur, Bali",https://www.hattenbali.co.id,6.780.000 Lot,25.02%,XA - NH KORINDO SEKURITAS INDONESIA,XA - NH KORINDO SEKURITAS INDONESIA,2022-12-19,2022-12-22,100,150,2023-01-03,2023-01-06,2023-01-06,2023-01-09,10 Jan 2023,0.0,
Closed,SUNI,PT Sunindo Pratama Tbk,Financials,"Oil, Gas & Coal Equipment & Services",Utama,Rp 300,0.0,-0.03333333333333333,0.10344827586206896,-0.05625,0.0,-0.019867549668874173,0.006756756756756757,1.4166666666666667,"Bergerak dalam bidang perdagangan besar mesin, peralatan dan perlengkapan lainnya, perdagangan besar","Jl. Prof Dr. Soepomo SH. No. 48, Tebet Jakarta Selatan 12870, Indonesia",https://www.sunindogroup.com,6.000.000 Lot,24%,AI - KAY HIAN SEKURITAS,AI - KAY HIAN SEKURITAS,2022-12-19,2022-12-23,280,300,2023-01-02,2023-01-05,2023-01-05,2023-01-06,09 Jan 2023,0.0,
Closed,CBRE,PT Cakra Buana Resources Energi Tbk,Financials,Coal Distribution,Pemantauan Khusus,Rp 108,0.3425925925925926,0.3448275862068966,-0.06666666666666667,-0.06593406593406594,-0.06470588235294118,-0.06918238993710692,0.0472972972972973,-0.8148148148148148,Angkutan Laut Dalam Negeri Untuk Barang Umum,"Sona Topas Tower Lt. 5A, Jl. Jenderal Sudirman Kav. 26, Jakarta Selatan 12920, Indonesia",https://www.cbre.co.id,7.380.000 Lot,16.26%,DR - RHB SEKURITAS INDONESIA,DR - RHB SEKURITAS INDONESIAHD - KGI SEKURITAS INDONESIA,2022-12-13,2022-12-16,100,110,2023-01-02,2023-01-05,2023-01-05,2023-01-06,09 Jan 2023,1.8,Rp 258
